elapsed_ms,scale,yaw_degrees,alpha,TL_x,TL_y,TR_x,TR_y,BR_x,BR_y,BL_x,BL_y,sample_type
520,0.9913713093170311,0.3032226215341423,1,5.793728340121788,3.2514556543551407,1909.2130853569888,6.060162282388887,1909.2130853569888,1073.9398377176112,5.793728340121788,1076.7485443456449,"interpolated model, not additional recorded frames"
530,0.9917623207870513,0.2830099337611105,1,5.582061357189218,3.1333602322716843,1909.7539119124654,5.756907272961371,1909.7539119124654,1074.2430927270386,5.582061357189218,1076.8666397677284,"interpolated model, not additional recorded frames"
540,0.9923249474863362,0.2645340172905651,1,5.190957029495394,2.9141889194850137,1910.4445474223303,5.369243831989593,1910.4445474223303,1074.6307561680105,5.190957029495394,1077.085811080515,"interpolated model, not additional recorded frames"
550,0.9931188249776627,0.24986431619421717,1,4.545990252594493,2.5520089514454867,1911.3249440112015,4.874630513750731,1911.3249440112015,1075.1253694862494,4.545990252594493,1077.4479910485545,"interpolated model, not additional recorded frames"
560,0.9938927543875617,0.23459647240290937,1,3.9255987896098077,2.203641308385272,1912.1915918201712,4.387739898317022,1912.1915918201712,1075.612260101683,3.9255987896098077,1077.7963586916148,"interpolated model, not additional recorded frames"
570,0.9943967420165667,0.21363609327027025,1,3.6127402315912605,2.0284267142409362,1912.8477747297243,4.019400888597488,1912.8477747297243,1075.9805991114026,3.6127402315912605,1077.971573285759,"interpolated model, not additional recorded frames"
580,0.9947109980933139,0.18014501010379025,1,3.5865754821575138,2.0147895810234786,1913.4269220567776,3.6947055187810065,1913.4269220567776,1076.3052944812189,3.5865754821575138,1077.9852104189765,"interpolated model, not additional recorded frames"
590,0.9949463015550678,0.1376331956679964,1,3.7115365966266154,2.0861873645570768,1914.005652028697,3.370272467612267,1914.005652028697,1076.6297275323877,3.7115365966266154,1077.9138126354428,"interpolated model, not additional recorded frames"
600,0.9951499395832256,0.09228376449598572,1,3.8910508816886704,2.1880185221523334,1914.5776837070825,3.0493564332144842,1914.5776837070825,1076.9506435667854,3.8910508816886704,1077.8119814778477,"interpolated model, not additional recorded frames"
610,0.9953691993591841,0.05027983112085557,1,4.028423257342979,2.2657810299806442,1915.1369146949132,2.735278612614593,1915.1369146949132,1077.2647213873854,4.028423257342979,1077.7342189700194,"interpolated model, not additional recorded frames"
620,0.9956513680643398,0.017804510075703103,1,4.026845676227367,2.2650747299876457,1915.6774258101502,2.431422026931841,1915.6774258101502,1077.5685779730682,4.026845676227367,1077.7349252700124,"interpolated model, not additional recorded frames"
630,0.9960437328800902,0.0010409158936256718,1,3.789365021667777,2.1315177359250583,1916.193331992395,2.1412506655162815,1916.193331992395,1077.8587493344837,3.789365021667777,1077.8684822640748,"interpolated model, not additional recorded frames"
640,0.9977201286034952,0.0,1,2.1886765406445647,1.2311305541126103,1917.8113234593554,1.2311305541126103,1917.8113234593554,1078.7688694458875,2.1886765406445647,1078.7688694458875,"interpolated model, not additional recorded frames"
650,1.0,0.0,1,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0,"interpolated model, not additional recorded frames"
